dataset,recording_id,participant_id,event_count,sample_rate,duration_s
Kaggle,kaggle_A_A_273.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_274.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_275.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_276.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_277.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_278.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_279.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_28.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_280.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_281.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_282.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_283.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_284.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_285.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_286.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_287.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_288.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_289.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_29.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_290.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_291.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_292.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_293.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_294.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_295.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_296.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_297.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_298.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_299.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_3.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_30.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_300.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_301.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_302.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_303.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_304.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_305.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_306.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_307.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_308.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_309.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_31.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_310.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_311.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_312.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_313.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_314.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_315.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_316.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_317.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_318.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_319.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_32.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_320.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_321.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_322.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_323.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_324.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_325.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_326.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_327.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_328.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_329.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_33.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_330.wav,kaggle_participant,1,48000,0.4
